base,reconciliation,pattern,series,rmsse,rmsse_se
gbm,top_down,intermittent,22155,0.9777920698934177,0.00370250950118307
gbm,top_down,lumpy,5572,0.8670164026761752,0.0077180366923021325
gbm,top_down,smooth,1903,1.0011895786528915,0.012691717763334434
gbm,wls_struct,erratic,860,0.7683218011623928,0.016036242145078622
gbm,wls_struct,intermittent,22155,0.9646449496640798,0.003089797613042931
gbm,wls_struct,lumpy,5572,0.8294508305071772,0.006602579704418501
gbm,wls_struct,smooth,1903,0.9013069173941851,0.009564882073642329
gbm,wls_var,erratic,860,0.7678155699025998,0.01606768167339248
gbm,wls_var,intermittent,22155,0.9813399816000832,0.003041213883673122
gbm,wls_var,lumpy,5572,0.8285667576267798,0.006567501683108856
gbm,wls_var,smooth,1903,0.8990320997598082,0.009563352714839247
seasonal_naive,base,erratic,860,0.9502159390355845,0.019841129733957834
seasonal_naive,base,intermittent,22155,1.2636114768219706,0.004215954628261952
seasonal_naive,base,lumpy,5572,1.0966200361159335,0.00953083909471772
seasonal_naive,base,smooth,1903,1.1122391597241645,0.011339679280604179
seasonal_naive,bottom_up,erratic,860,0.9502159390355845,0.019841129733957834
seasonal_naive,bottom_up,intermittent,22155,1.2636114768219706,0.004215954628261952
seasonal_naive,bottom_up,lumpy,5572,1.0966200361159335,0.00953083909471772
seasonal_naive,bottom_up,smooth,1903,1.1122391597241645,0.011339679280604179
seasonal_naive,middle_out,erratic,860,0.8999839485609231,0.01739178777369739
seasonal_naive,middle_out,intermittent,22155,0.9763382171913774,0.00358414079130311
seasonal_naive,middle_out,lumpy,5572,0.8734289640913089,0.007397508765659073
seasonal_naive,middle_out,smooth,1903,1.0123597084186846,0.01188348593751328
seasonal_naive,ols,erratic,860,0.9502159390299801,0.019841129733772066
seasonal_naive,ols,intermittent,22155,1.263611476817725,0.004215954628228092
seasonal_naive,ols,lumpy,5572,1.0966200361154794,0.00953083909456853
seasonal_naive,ols,smooth,1903,1.1122391597193757,0.011339679280356526
seasonal_naive,top_down,erratic,860,0.9063678687610334,0.01741323822131362
seasonal_naive,top_down,intermittent,22155,0.9775405925286578,0.003609721326475454
seasonal_naive,top_down,lumpy,5572,0.8748432239537652,0.007469684435553463
seasonal_naive,top_down,smooth,1903,1.0259658749009455,0.011962104568900567
seasonal_naive,wls_struct,erratic,860,0.9502159390365159,0.019841129733859077
seasonal_naive,wls_struct,intermittent,22155,1.2636114767821534,0.004215954628056472
seasonal_naive,wls_struct,lumpy,5572,1.0966200361019083,0.009530839094471732
seasonal_naive,wls_struct,smooth,1903,1.1122391597111692,0.011339679280395998
seasonal_naive,wls_var,erratic,860,0.95021593904648,0.019841129734159767
seasonal_naive,wls_var,intermittent,22155,1.2636114768180369,0.004215954628254177
seasonal_naive,wls_var,lumpy,5572,1.0966200361201206,0.009530839094909505
seasonal_naive,wls_var,smooth,1903,1.112239159728252,0.011339679280708394
ses,base,erratic,860,0.7890527880356136,0.017042689167233928
ses,base,intermittent,22155,0.9417366904132787,0.003166463007589528
ses,base,lumpy,5572,0.8308574882250971,0.006755299995419355
ses,base,smooth,1903,0.8980495382584639,0.009700316437805254
ses,bottom_up,erratic,860,0.7890527880356136,0.017042689167233928
ses,bottom_up,intermittent,22155,0.9417366904132787,0.003166463007589528
ses,bottom_up,lumpy,5572,0.8308574882250971,0.006755299995419355
ses,bottom_up,smooth,1903,0.8980495382584639,0.009700316437805254
ses,middle_out,erratic,860,0.9198117301153363,0.017239474909466146
ses,middle_out,intermittent,22155,0.9798837029519195,0.003562819779466432
ses,middle_out,lumpy,5572,0.8792384375796544,0.007349012559280127
ses,middle_out,smooth,1903,1.0421637660277778,0.011796296122772849
ses,ols,erratic,860,0.7930794772234641,0.01708090385777832
ses,ols,intermittent,22155,0.9723886095538582,0.003346380575988135
ses,ols,lumpy,5572,0.8440366659963042,0.006822977821832308
ses,ols,smooth,1903,0.9052680251807369,0.00970476296902395
ses,top_down,erratic,860,0.916291415924969,0.017344168576741356
ses,top_down,intermittent,22155,0.978855049685926,0.0036056584463935405
ses,top_down,lumpy,5572,0.8764899772704018,0.007461333760065662
ses,top_down,smooth,1903,1.0385005435133454,0.011889896630399006
ses,wls_struct,erratic,860,0.7911303661844488,0.01706242265933323
ses,wls_struct,intermittent,22155,0.9482265660017685,0.003193766214457403
ses,wls_struct,lumpy,5572,0.8345251371250786,0.006765579239422249
ses,wls_struct,smooth,1903,0.9017819972023992,0.009699481537760082
ses,wls_var,erratic,860,0.7891084534864707,0.017066624310216803
ses,wls_var,intermittent,22155,0.9418183543383424,0.0031661710292155447
ses,wls_var,lumpy,5572,0.8310687130695112,0.006750645037980449
ses,wls_var,smooth,1903,0.8983808142219276,0.009704819128871629
