base,reconciliation,level,nodes,rmsse,mase,rmsse_se
gbm,ols,state,3,1.4221054621819302,1.8754629059574792,0.7332544794748401
gbm,ols,store,10,1.5123198232312776,1.9223753799133696,0.3201996035714523
gbm,ols,store_cat,30,2.1420862973091244,2.609183857820925,0.2662664118486024
gbm,ols,store_dept,70,2.918787780955967,3.5653672004897223,0.4020567055323828
gbm,ols,total,1,1.3211991757518633,1.7793899890541094,
gbm,top_down,bottom,30490,0.9561049987449508,1.5690417033001742,0.0031932546472487897
gbm,top_down,state,3,1.3189258321585686,1.6254094798203758,0.20819690444626635
gbm,top_down,store,10,1.5364157026372722,2.004420018707051,0.32801892947199124
gbm,top_down,store_cat,30,1.44676676807057,1.7389530391653802,0.15333548507668324
gbm,top_down,store_dept,70,1.420272529463459,1.7022147621304762,0.1107792709213072
gbm,top_down,total,1,1.416372850879774,1.918468765916777,
gbm,wls_struct,bottom,30490,0.9304477763264831,1.764598359633836,0.0026780492659903865
gbm,wls_struct,state,3,0.8079421076553627,0.9537215157260871,0.22345472714223505
gbm,wls_struct,store,10,0.8825788266107472,1.0283290277041643,0.10830754134227899
gbm,wls_struct,store_cat,30,0.9909966493050558,1.1134190822197394,0.06307861517277387
gbm,wls_struct,store_dept,70,1.1641082620503431,1.3276609261375634,0.07591703729658819
gbm,wls_struct,total,1,0.6292786833752769,0.794313657005124,
gbm,wls_var,bottom,30490,0.9422610935324831,1.9010723791710031,0.0026515518520970707
gbm,wls_var,state,3,0.6155829173118765,0.6797024521994208,0.061676666689744426
gbm,wls_var,store,10,0.7316504561208169,0.8398032675836283,0.06555472291215567
gbm,wls_var,store_cat,30,0.9069247290088479,1.018640263196512,0.057497053772460054
gbm,wls_var,store_dept,70,1.254933556885113,1.4693477529259376,0.09294886866648605
gbm,wls_var,total,1,0.40342712577307693,0.4589587282696153,
seasonal_naive,base,bottom,30490,1.214806688709558,1.8445553078664056,0.0036685314139207285
seasonal_naive,base,state,3,0.8525231350943602,0.923295754530724,0.027756168763659023
seasonal_naive,base,store,10,0.8390829080991488,0.9051649206421614,0.045747337379395535
seasonal_naive,base,store_cat,30,0.9570372528365904,1.0292037641784146,0.036984247285549166
seasonal_naive,base,store_dept,70,1.0366879480698177,1.1315043404944152,0.03567892608490657
seasonal_naive,base,total,1,0.7388287750845508,0.7828729500366369,
seasonal_naive,bottom_up,bottom,30490,1.214806688709558,1.8445553078664056,0.0036685314139207285
seasonal_naive,bottom_up,state,3,0.8525231350943602,0.923295754530724,0.027756168763659023
seasonal_naive,bottom_up,store,10,0.8390829080991488,0.9051649206421614,0.045747337379395535
seasonal_naive,bottom_up,store_cat,30,0.9570372528365904,1.0292037641784146,0.036984247285549166
seasonal_naive,bottom_up,store_dept,70,1.0366879480698177,1.1315043404944152,0.03567892608490657
seasonal_naive,bottom_up,total,1,0.7388287750845508,0.7828729500366369,
seasonal_naive,middle_out,bottom,30490,0.9576263073360083,1.605146709967146,0.003075732335832312
